
        alt         XM         FN        SFC         WF

        alt         XM         FN        SFC         WF
     7916.7    0.25833     36.701     12.826    0.47074
     8333.3    0.25833     34.881     12.887    0.44953
       8750    0.25833     33.121     12.952    0.42897
     9166.7    0.25833      31.42     13.019    0.40906
     9583.3    0.25833     29.778     13.089    0.38978
      10000    0.25833     28.196     13.162    0.37113
      10417    0.25833     26.672     13.238     0.3531
      10833    0.25833     25.208     13.317    0.33568
      11250    0.25833     23.683      13.35    0.31618
      11667    0.25833     22.174     13.353    0.29608
      12083    0.25833      20.76     13.355    0.27726
      12500    0.25833     19.436     13.358    0.25963
      12917    0.25833     18.196     13.361    0.24313
      13333    0.25833     17.036     13.364    0.22767
      13750    0.25833     15.949     13.368     0.2132
      14167    0.25833     14.931     13.372    0.19965
      14583    0.25833     13.978     13.376    0.18696
      15000    0.25833     13.085      13.38    0.17508
      15417    0.25833     12.249     13.385    0.16396
      15833    0.25833     11.467      13.39    0.15354
      16250    0.25833     10.734     13.395    0.14378
      16667    0.25833     10.048     13.401    0.13464
      17083    0.25833     9.4048     13.407    0.12609
      17500    0.25833     8.8031     13.413    0.11807
      17917    0.25833     8.2395      13.42    0.11057
      18333    0.25833     7.7118     13.427    0.10354
      18750    0.25833     7.2176     13.434   0.096964
      19167    0.25833     6.7549     13.442   0.090802
      19583    0.25833     6.3215     13.451   0.085032
      20000    0.25833     5.9157      13.46   0.079628
          0    0.27292     76.676     13.057     1.0011
     416.67    0.27292     75.107      12.89    0.96813
     833.33    0.27292     73.218     12.782    0.93586
       1250    0.27292     71.138     12.712    0.90434
     1666.7    0.27292      68.94     12.671    0.87356
     2083.3    0.27292     66.664     12.637    0.84245
       2500    0.27292     64.347     12.611    0.81149
     2916.7    0.27292     62.015     12.597    0.78123
     3333.3    0.27292     59.686     12.594    0.75166
       3750    0.27292     57.377     12.597    0.72278
     4166.7    0.27292       55.1     12.606    0.69461
     4583.3    0.27292     52.854     12.622    0.66714
       5000    0.27292     50.643     12.644    0.64035
     5416.7    0.27292     48.473     12.672    0.61426
     5833.3    0.27292     46.348     12.705    0.58886
       6250    0.27292     44.271     12.743    0.56415
